”NŒŽ,•{’†,”ª‰¤Žq
2020/11/9,13,11.5
2020/11/10,11,9.8
2020/11/11,10.5,9.2
2020/11/12,9.2,9.2
2020/11/13,12.9,12.1
2020/11/14,13.9,12.1
2020/11/15,12,11
2020/11/16,13.8,13.1
2020/11/17,14.1,12.6
2020/11/18,14.6,14.2
2020/11/19,18.3,18
2020/11/20,21.3,20
2020/11/21,15.6,14.1
2020/11/22,13.1,12
2020/11/23,14.4,13.9
2020/11/24,10.8,10.1
2020/11/25,10,10
2020/11/26,11.8,11.6
2020/11/27,11.5,10.9
2020/11/28,11,10.6
2020/11/29,8.3,7.5
2020/11/30,8.3,7.9
2020/12/1,9.2,8.5
2020/12/2,7.3,7.5
2020/12/3,7.4,7.6
2020/12/4,8.8,7.7
2020/12/5,5.8,5.8
2020/12/6,6.8,6.8
2020/12/7,8.5,8.4
2020/12/8,10.6,9.9
2020/12/9,8.6,7.7
2020/12/10,8.3,8
2020/12/11,8.9,8.4
2020/12/12,10.6,10.3
2020/12/13,8.7,8.7
2020/12/14,6.9,6
2020/12/15,4.5,4
2020/12/16,3.2,4.1
2020/12/17,2.5,1.8
2020/12/18,4,3.3
2020/12/19,4.1,3.5
2020/12/20,2.7,1.7
2020/12/21,3.4,2.5
2020/12/22,4.2,3.5
2020/12/23,5.9,5.3
2020/12/24,5.7,5.7
2020/12/25,6.9,6
2020/12/26,5,4
2020/12/27,5.6,5.2
2020/12/28,7.7,7.1
2020/12/29,6.6,5.8
2020/12/30,6,5.7
2020/12/31,2.6,1.6
2021/1/1,2.5,1.8
